"Variable","Kappa"
"date_gpt",NA
"pre_pre_mi1_gpt",0.454125826304992
"pre_mi1_gpt",0.30863810300483
"pre_iv1_gpt",0.145955139789518
"c_pre_iv1_gpt",0.105252929630565
"pre_niv1_1_gpt",0.0461137168565141
"pre_niv1_2_gpt",0.0434584373200231
"pre_pre_mi2_gpt",0.115225118483412
"pre_mi2_gpt",0.130543336107478
"pre_iv2_gpt",0.0326132028528779
"c_pre_iv2_gpt",0.0495291902071564
"pre_niv2_1_gpt",-0.00965163625395844
"pre_niv2_2_gpt",-0.0116349350256873
"pre_pre_mt_gpt",0.0204869035974351
"pre_mt_gpt",-0.00610500610500432
"pre_tv_gpt",0.0329359165424736
"c_pre_tv_gpt",0.015523318872017
"pre_ntv_1_gpt",0.0218225904223077
"pre_ntv_2_gpt",0.0148006443817962
"pre_dv_gpt",0
"c_pre_dv_gpt",0.196247717084509
"pre_ndv_1_gpt",0.0572551360493458
"pre_ndv_2_gpt",0.0377940060698027
"pre_pre_mc_gpt",0.0154278229767512
"pre_mc_gpt",0.0953155497722847
"pre_cv_gpt",0.00796469848902973
"c_pre_cv_gpt",0.0242198216735253
"pre_ncv_1_gpt",0.0401325939206939
"pre_ncv_2_gpt",0.0345761299729222
"pre_dcp_1_gpt",0.0169500365077709
"pre_dcp_2_gpt",0.0126307539263859
"pre_dcp_1_text_gpt",0.818055842203025
"pre_pa_gpt",0.265574959212037
"pre_iec_1_gpt",0.0512044284911131
"pre_imd_1_gpt",0.196819693436795
"pre_imd_2_gpt",0.212913920672785
"pre_sm_1_gpt",0
"pre_sm_2_gpt",0
"pre_sm_3_gpt",0.0470951039366482
"pre_vsa_1_gpt",0.00735379494523357
"pre_vsa_2_gpt",0.00446096654275095
"pre_vsa_3_gpt",0.00715465768215109
"pre_ic_gpt",0.00378901186558987
"pap_pap_mi1_gpt",0.437958278860911
"pap_mi1_gpt",0.380934266585514
"pap_iv1_gpt",0.174917925147735
"c_pap_iv1_gpt",0.132956642066421
"pap_niv1_1_gpt",0.053842196800823
"pap_niv1_2_gpt",0.0565231197635508
"pap_pap_mi2_gpt",0.119670535802434
"pap_mi2_gpt",0.153288201160542
"pap_iv2_gpt",0.01604808097849
"c_pap_iv2_gpt",0.0272037455602197
"pap_niv2_1_gpt",-0.0174437602111348
"pap_niv2_2_gpt",-0.0207973571589459
"pap_pap_mt_gpt",0.0297663903541823
"pap_mt_gpt",-0.00593642282650404
"pap_tv_gpt",0.050812747984129
"c_pap_tv_gpt",0.0271302250803859
"pap_ntv_1_gpt",0.00787481411383029
"pap_ntv_2_gpt",0.00961538461538487
"pap_dv_gpt",0
"c_pap_dv_gpt",0.207058779775741
"pap_ndv_1_gpt",0.0424526704372269
"pap_ndv_2_gpt",0.0294103060060506
"pap_pap_mc_gpt",0.0128654534606205
"pap_mc_gpt",0.0856635596981792
"pap_cv_gpt",0.0128316831683168
"c_pap_cv_gpt",0.0170415814587593
"pap_ncv_1_gpt",0.0289447568640422
"pap_ncv_2_gpt",0.0189262741217219
"pap_dcp_1_gpt",-0.0112201963534409
"pap_dcp_2_gpt",-0.00648710789949087
"pap_dcp_1_text_gpt",0.6025291452863
"pap_pa_gpt",0.265489041543997
"pap_iec_1_gpt",0.0105403602401605
"pap_imd_1_gpt",0.0391681405831004
"pap_imd_2_gpt",0.0347655106053633
"pap_sm_1_gpt",0
"pap_sm_2_gpt",0
"pap_sm_3_gpt",0.0297684100962789
"pap_vsa_1_gpt",0.00847426128972312
"pap_vsa_2_gpt",0.000264604356349907
"pap_vsa_3_gpt",0.0160704512662321
"pap_ic_gpt",0.0010050129561911
"match_mi1_gpt",0.163915140582722
"match_iv1_0_gpt",0.105798509880143
"match_iv1_1_gpt",0.104977317743275
"match_iv1_2_gpt",0.0893652207098334
"match_iv1_3_gpt",0.024514110025255
"match_mi2_gpt",0.0687418041272691
"match_iv2_0_gpt",0.0182372752112853
"match_iv2_1_gpt",-0.0211107189836053
"match_iv2_2_gpt",-0.0271186440677965
"match_iv2_3_gpt",0.00523138832997993
"match_mt_gpt",-0.00601051840721246
"match_tv_0_gpt",0.0158388568477222
"match_tv_1_gpt",0.021798118668595
"match_tv_2_gpt",0.00830658863507658
"match_tv_3_gpt",-0.014416214673137
"match_dv_0_gpt",0.00880425880425886
"match_dv_1_gpt",-0.0381057572828941
"match_dv_2_gpt",-0.0101827536309556
"match_dv_3_gpt",0.0413253909158601
"match_mc_gpt",0.0620499788225329
"match_cv_0_gpt",0.0123679822123407
"match_cv_1_gpt",0.0222709017889741
"match_cv_2_gpt",0.0164456233421749
"match_cv_3_gpt",-0.017283950617283
"match_dcp_1_gpt",0.240011659895425
"match_dcp_2_gpt",0.0308081135376839
"match_iec_1_gpt",0.0981957142166111
"match_imd_1_gpt",0.0907944514501892
"match_imd_2_gpt",0.0946421472636523
"match_sm_1_gpt",0.101060734905787
"match_sm_2_gpt",0.0298433472139599
"match_sm_3_gpt",0.0205467821361861
"match_vsa_1_gpt",0.00973540698848717
"match_vsa_2_gpt",0.00287442037042058
"match_vsa_3_gpt",0.0129013682853931
"match_ic_gpt",0.0287532515793385
